tahun_berangkat,bulan,berangkat,tahun_tiba,tiba,sumber_file
2014,Januari,47987,2014,50567,"Jumlah Penumpang Pesawat Menurut Bulan, 2014.csv"
2014,Februari,47589,2014,45170,"Jumlah Penumpang Pesawat Menurut Bulan, 2014.csv"
2014,Maret,50027,2014,50136,"Jumlah Penumpang Pesawat Menurut Bulan, 2014.csv"
2014,April,46301,2014,45838,"Jumlah Penumpang Pesawat Menurut Bulan, 2014.csv"
2014,Mei,51889,2014,50970,"Jumlah Penumpang Pesawat Menurut Bulan, 2014.csv"
2014,Juni,54817,2014,55936,"Jumlah Penumpang Pesawat Menurut Bulan, 2014.csv"
2014,Juli,42544,2014,51219,"Jumlah Penumpang Pesawat Menurut Bulan, 2014.csv"
2014,Agustus,58789,2014,51250,"Jumlah Penumpang Pesawat Menurut Bulan, 2014.csv"
2014,September,54855,2014,49620,"Jumlah Penumpang Pesawat Menurut Bulan, 2014.csv"
2014,Oktober,52518,2014,51450,"Jumlah Penumpang Pesawat Menurut Bulan, 2014.csv"
2014,November,52297,2014,52615,"Jumlah Penumpang Pesawat Menurut Bulan, 2014.csv"
2014,Desember,57984,2014,57424,"Jumlah Penumpang Pesawat Menurut Bulan, 2014.csv"
2015,Januari,47987,2015,50567,"Jumlah Penumpang Pesawat Menurut Bulan, 2015.csv"
2015,Februari,47589,2015,45170,"Jumlah Penumpang Pesawat Menurut Bulan, 2015.csv"
2015,Maret,50027,2015,50136,"Jumlah Penumpang Pesawat Menurut Bulan, 2015.csv"
2015,April,46301,2015,45838,"Jumlah Penumpang Pesawat Menurut Bulan, 2015.csv"
2015,Mei,51889,2015,50970,"Jumlah Penumpang Pesawat Menurut Bulan, 2015.csv"
2015,Juni,54817,2015,55936,"Jumlah Penumpang Pesawat Menurut Bulan, 2015.csv"
2015,Juli,42544,2015,51219,"Jumlah Penumpang Pesawat Menurut Bulan, 2015.csv"
2015,Agustus,58789,2015,51250,"Jumlah Penumpang Pesawat Menurut Bulan, 2015.csv"
2015,September,54855,2015,49620,"Jumlah Penumpang Pesawat Menurut Bulan, 2015.csv"
2015,Oktober,52518,2015,51450,"Jumlah Penumpang Pesawat Menurut Bulan, 2015.csv"
2015,November,52297,2015,52615,"Jumlah Penumpang Pesawat Menurut Bulan, 2015.csv"
2015,Desember,57984,2015,57424,"Jumlah Penumpang Pesawat Menurut Bulan, 2015.csv"
2016,Januari,67549,2016,66279,"Jumlah Penumpang Pesawat Menurut Bulan, 2016.csv"
